x;y;z;Zone;batiment;Paramètres;prof moy;prof;prof h;prof b;lithologie;indices organo;PID;REMSCA N;Arsenic (As);Cadmium (Cd);Chrome (Cr);Cuivre (cu);Mercure (Hg);Nickel (Ni);Plomb (Pb);Zinc (Zn);HYDROCARBURES AROMATIQUES POLYCYCLIQUES (HAP);Naphtalène;Acénaphtylène;Acénaphtène;Fluorène;Phénanthrène;Anthracène;Fluoranthène;Pyrène;Benzo(a)anthracène;Chrysène;Benzo(b)fluoranthène;Benzo(k)fluoranthène;Benzo(a)pyrène;Dibenzo(a.h)anthracène;Benzo(g.h.i)pérylène;Indéno(1.2.3-cd)pyrène;HAP (6 Borneff) - somme;Somme HAP (VROM);HAP (EPA) - somme;COMPOSES AROMATIQUES VOLATILS (CAV - BTEX);Benzène;Toluène;Ethylbenzène;m,p-Xylène;o-Xylène;Naphtalène;Somme Xylènes;BTEX total;COMPOSES ORGANO HALOGENES VOLATILS (COHV);Chlorure de Vinyle;Dichlorométhane;Trichlorométhane;Tétrachlorométhane;Trichloroéthylène;Tétrachloroéthylène;1.1.1-Trichloroéthane;1.1.2-Trichloroéthane;1.1-Dichloroéthane;1.2-Dichloroéthane;1.1-Dichloroéthylène;cis-1.2-Dichloroéthène;Trans-1.2-Dichloroéthylène;Somme cis/trans-1.2-Dichloroéthylènes;Hexachloroéthane;1.1.1.2-Tetrachloroéthane;1.1.2.2-Tetrachloréthane;Chloroéthane;Chlorométhane;Pentachloroethane;Somme COHV;HYDROCARBURES TOTAUX (HCT);Fraction aliphatique C5-C6;Fraction aliphatique C6-C8;Fraction aliphatique C8-C10;Fraction aromatique C6-C8;Fraction aromatique C8-C10;Fraction >C6-C8;Fraction C8-C10;Fraction C5-C10;Hydrocarbures totaux C10-C40;Fraction C10-C12;Fraction C12-C16;Fraction C16-C20;Fraction C20-C24;Fraction C24-C28;Fraction C28-C32;Fraction C32-C36;Hydrocarbures > C21-C35;Fraction C36-C40;ETBE/MTBE;ETBE;MTBE;POLYCHLOROBIPHENYLES (PCB);Somme 6 PCB;Somme 7 PCB (Ballschmiter);PCB (28);PCB (52);PCB (101);PCB (118);PCB (138);PCB (153);PCB (180);Source;reference plan;Nom sondage;profondeur de ;profondeur a ;Somme des C5;Somme des C6;Somme des C7;Somme des C8;Somme des C9;Somme des C10;Cumène;m-. p- Ethyltoluène ;Mésitylène;o-Ethyltoluène;Pseudocumène;Somme des CAV;Aluminum;Acétate d'éthyle;Acétate d'isopropyle;Acétone;Méthyléthylcétone;MIBK;Tétrahydrofurane (THF);1.4-Dioxane;Diéthyléther;Diisopropyléther (DIPE);Diéthoxyméthane;Cyclohexanone;Méthanol;Éthanol;Butanol-1;Butanol-2;Somme des indices aliphatiques et aromatiques;Indice aliphatique >nC10-nC12 ;Indice aliphatique >nC12-nC14 ;Indice aliphatique >nC14-nC16 ;Indice aliphatique >nC16-nC21 ;Indice aliphatique >nC21-nC35 ;Indice aliphatique >nC35-nC40 ;Somme des indices aliphatiques ;Indice aromatique >nC10-nC12 ;Indice aromatique >nC12-nC14 ;Indice aromatique >nC14-nC16 ;Indice aromatique >nC16-nC21 ;Indice aromatique >nC21-nC35 ;Indice aromatique >nC35-nC40 ;Somme des indices aromatiques
1642725.642591;8175149.463977;0;;B09;B09-E01;0.75;0.5-1;0.5;1;Sable limoneux Fins avec blocs;RAS;0.2;na;1.3;<0.1;2.5;1.8;<0.05;2.3;3.8;7.3;;<0.050;<0.050;<0.050;0.056;0.2;0.2;0.063;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;0.063;0.463;0.519;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;<20.0;<4.0;<4.0;2.8;2.3;<2.0;<2.0;<2.0;;<2.0;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642725.642591;8175149.463977;0;;B09;B09-E01;1.75;1.5-2;1.5;2;Sable limoneux Fins avec blocs;RAS;0.1;na;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642794.464165;8175138.431581;0;;B09;B09-E02;0.35;0.2-0.5;0.2;0.5;Argile sableuse Graveleux marron à gris avec blocs --> Refus;RAS;0;na;9.2;<0.1;63;6.4;<0.05;58;14;11;;<0.050;<0.050;<0.050;<0.050;0.73;0.29;0.15;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;0.15;1.17;1.17;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;170;6;44;51;27.6;22.8;15;3.1;;<2.0;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642898.667792;8175120.657747;0;;B11;B11-E01;1.25;1-1.5;1;1.5;Argile Graveleuse marron;RAS;0.1;na;20;<0.1;56;9.4;0.05;24;19;18;;<0.050;<0.050;<0.050;<0.050;0.18;<0.050;0.28;0.26;0.15;0.13;0.15;0.069;0.13;<0.050;<0.050;<0.050;0.629;0.939;1.35;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;<20.0;<4.0;<4.0;<2.0;<2.0;<2.0;<2.0;<2.0;;<2.0;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642898.667792;8175120.657747;0;;B11;B11-E01;2.25;2-2.5;2;2.5;Argile Graveleuse marron;RAS;0.2;na;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642898.667792;8175120.657747;0;;B11;B11-E01;2.75;2.5-3;2.5;3;Argile Graveleuse marron;RAS;0.2;na;4;<0.1;10;1.7;<0.05;4.1;2.5;7.8;;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;n.d.;n.d.;n.d.;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;<20.0;<4.0;<4.0;<2.0;<2.0;<2.0;<2.0;<2.0;;<2.0;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642868.941612;8175124.493383;0;;B11;B11-E02;1.25;1-1.5;1;1.5;Limon sablo- argileux graveleux;RAS;0;na;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642868.941612;8175124.493383;0;;B11;B11-E02;1.75;1.5-2;1.5;2;Limon sablo- argileux graveleux;RAS;0.1;na;19;<0.1;77;15;0.06;23;25;53;;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;n.d.;n.d.;n.d.;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;27.6;<4.0;<4.0;<2.0;3.1;6.1;6.9;5.4;;3.6;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642868.941612;8175124.493383;0;;B11;B11-E02;2.25;2.-2.5;2;2.5;Argile marron;RAS;0;na;17;<0.1;54;8.2;<0.05;17;16;34;;<0.050;<0.050;<0.050;<0.050;0.15;<0.050;0.51;0.38;0.25;0.24;0.29;0.13;0.31;<0.050;0.2;0.22;1.66;2.01;2.68;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;<20.0;<4.0;<4.0;<2.0;2.4;3.9;4.4;3.2;;2.5;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642830.609577;8175133.004947;0;;B11;B11-E04;0.75;0.5-1;0.5;1;Argile graveleuse marron noir ;RAS;0;3600;4.2;0.5;26;8.3;<0.05;5.6;100;37;;<0.050;<0.050;<0.050;<0.050;0.15;<0.050;0.34;0.31;0.16;0.15;0.11;0.065;0.14;<0.050;0.086;<0.050;0.741;1.09;1.51;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;150;<4.0;<4.0;6.1;9.6;26.3;37;43.1;;28.5;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642821.333039;8175152.343008;0;;B11;B11-E06;0.75;0.5-1;0.5;1;Sable graveleux Marron;RAS;0;na;14;0.1;29;12;0.1;16;26;76;;<0.050;<0.050;<0.050;<0.050;0.33;0.13;1.4;1.2;0.86;0.73;0.7;0.39;1;0.062;0.52;0.6;4.61;5.96;7.92;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;85.2;<4.0;<4.0;6.8;10.7;21.5;23;17;;5.5;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642821.333039;8175152.343008;0;;B11;B11-E06;1.75;1.5-2;1.5;2;Argile marron;RAS;0;na;11;<0.1;38;11;<0.05;26;13;44;;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;n.d.;n.d.;n.d.;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;<20.0;<4.0;<4.0;<2.0;<2.0;<2.0;<2.0;2.5;;2.5;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642703.455829;8175113.557146;0;;B12;B12-PG01;0.75;0.5-1;0.5;1;Argile légèrement graveleuse beige marron;RAS;0;0;80;0.2;75;3.9;<0.05;21;37;15;;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;n.d.;n.d.;n.d.;;<0,10;<0,10;<0,10;<0,20;<0,10;<0.20;n.d.;n.d.;;<0.04;<0.10;<0.10;<0.10;<0.10;<0.10;<0.10;<0.10;<0.20;<0.10;<0.20;<0.050;<0.050;n.d.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;86.7;6.9;31;28.6;14.6;3.4;<2.0;<2.0;;<2.0;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642713.980953;8175072.844757;0;;B12;B12-PG03;0.325;0.15-0.5;0.15;0.5;Agile beige ;RAS;0;400;14;<0.1;50;6;<0.05;19;12;27;;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;n.d.;n.d.;n.d.;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;<0.10;<0.05;<0.1;<0.50;<0.50;<0.10;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;<20.0;<4.0;<4.0;<2.0;<2.0;<2.0;<2.0;<2.0;;<2.0;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642774.238106;8175072.733505;0;;B12;B12-PG04;1.25;1-1.5;1;1.5;0;RAS;0;300;11;0.1;33;7.3;<0.05;16;10;34;;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;n.d.;n.d.;n.d.;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;<0.10;<0.05;<0.10;<0.50;<0.50;<0.10;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;<20.0;<4.0;<4.0;<2.0;<2.0;<2.0;<2.0;<2.0;;<2.0;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642774.238106;8175072.733505;0;;B12;B12-PG04;1.75;1.5-2;1.5;2;0;RAS;0;700;110;<0.1;81;4.9;<0.05;26;35;27;;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;n.d.;n.d.;n.d.;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;<20.0;<4.0;<4.0;<2.0;<2.0;<2.0;<2.0;<2.0;;<2.0;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642711.106753;8175016.863182;0;;B12;B12-PG05;0.75;0.5-1;0.5;1;Agile beige ;RAS;0;700;16;<0.1;51;8.3;<0.05;17;15;35;;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;n.d.;n.d.;n.d.;;<0,10;<0,10;<0,10;<0,20;<0,10;<0.20;n.d.;n.d.;;<0.04;<0.10;<0.10;<0.10;<0.10;<0.10;<0.10;<0.10;<0.20;<0.10;<0.20;<0.050;<0.050;n.d.;<0.20;<0.10;<0.10;<1.0;<1.0;<0.20;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;<20.0;<4.0;<4.0;<2.0;<2.0;<2.0;<2.0;<2.0;;<2.0;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642766.44735;8175023.881292;0;;B12;B12-PG06;0.75;0.5-1;0.5;1;Argile limoneuse beige;RAS;0;na;10;<0.1;35;8.5;<0.05;21;12;35;;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;n.d.;n.d.;n.d.;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;<20.0;<4.0;<4.0;<2.0;<2.0;<2.0;<2.0;<2.0;;<2.0;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1642766.44735;8175023.881292;0;;B12;B12-PG06;1.75;1.5-2;1.5;2;Argile limoneuse beige;RAS;0;na;9.4;<0.1;37;3.3;<0.05;7.6;9.8;12;;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;<0.050;n.d.;n.d.;n.d.;;<0,05;<0,05;<0,05;<0,10;<0,050;<0.10;n.d.;n.d.;;<0.02;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.05;<0.10;<0.05;<0.10;<0.025;<0.025;n.d.;<0.10;<0.05;<0.10;<0.50;<0.50;<0.10;;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;<20.0;<4.0;<4.0;<2.0;<2.0;<2.0;<2.0;<2.0;;<2.0;;n.a.;n.a.;;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
